Start Log - Format: duration;count;numberOfParticlesDOTS;numberOfParticlesStandard
0;50;0;0
0,1;276;0;0
0,2;244;0;0
0,3;281;0;0
0,4;270;0;0
0,5;302;0;0
0,6;307;0;0
0,7;299;0;0
0,8000001;298;0;0
0,9000001;209;0;0
1;305;0;0
1,1;298;0;0
1,2;249;0;0
1,3;306;0;0
1,4;242;0;0
1,5;265;0;0
1,6;275;0;0
1,7;281;0;0
1,8;293;0;0
1,9;272;0;0
2;302;0;0
2,1;292;0;0
2,2;216;0;0
2,3;228;0;0
2,4;298;0;0
2,5;49;2;0
2,6;162;88;0
2,7;191;147;0
2,799999;195;207;0
2,899999;228;269;0
2,999999;262;332;0
3,099999;259;396;0
3,199999;190;454;0
3,299999;244;520;0
3,399999;214;581;0
3,499999;257;643;0
3,599999;245;709;0
3,699999;236;771;0
3,799999;229;835;0
3,899998;223;896;0
3,999998;208;962;0
4,099998;258;1025;0
4,199998;180;1087;0
4,299998;217;1154;0
4,399998;219;1222;0
4,499998;210;1290;0
4,599998;215;1356;0
4,699998;223;1424;0
4,799998;223;1492;0
4,899998;234;1563;0
4,999998;248;1629;0
5,099998;229;1698;0
5,199997;198;1765;0
5,299997;217;1832;0
5,399997;210;1896;0
5,499997;233;1960;0
5,599997;238;2028;0
5,699997;248;2089;0
5,799997;251;2154;0
5,899997;234;2216;0
5,999997;215;2278;0
6,099997;190;2343;0
6,199996;215;2403;0
6,299996;244;2468;0
6,399996;244;2534;0
6,499996;244;2601;0
6,599996;237;2665;0
6,699996;247;2734;0
6,799996;256;2796;0
6,899996;189;2862;0
6,999996;191;2927;0
7,099996;243;2996;0
7,199996;248;3061;0
7,299995;233;3127;0
7,399995;236;3191;0
7,499995;237;3256;0
7,599995;192;3320;0
7,699995;197;3389;0
7,799995;235;3454;0
7,899995;238;3520;0
7,999995;231;3587;0
8,099995;246;3653;0
8,199995;234;3720;0
8,299995;196;3783;0
8,399996;194;3850;0
8,499996;190;3913;0
8,599997;201;3977;0
8,699997;234;4043;0
8,799997;232;4109;0
8,899998;229;4175;0
8,999998;196;4237;0
9,099998;192;4301;0
9,199999;191;4368;0
9,299999;196;4431;0
9,4;175;4495;0
9,5;240;4561;0
9,6;229;4624;0
9,700001;219;4690;0
9,800001;190;4757;0
9,900002;188;4821;0
10;218;4884;0
10,1;230;4951;0
10,2;218;5015;0
10,3;234;5078;0
10,4;236;5142;0
10,5;224;5206;0
10,6;186;5271;0
10,7;182;5335;0
10,8;193;5398;0
10,90001;234;5461;0
11,00001;232;5525;0
11,10001;237;5588;0
11,20001;230;5654;0
11,30001;227;5714;0
11,40001;184;5778;0
11,50001;201;5843;0
11,60001;228;5905;0
11,70001;224;5969;0
11,80001;233;6033;0
11,90001;227;6096;0
12,00001;209;6158;0
12,10001;182;6223;0
12,20001;206;6288;0
12,30001;214;6348;0
12,40001;226;6411;0
12,50001;220;6475;0
12,60001;232;6540;0
12,70001;168;6605;0
12,80001;164;6666;0
12,90001;205;6730;0
13,00001;211;6794;0
13,10001;228;6860;0
13,20001;204;6922;0
13,30001;168;6986;0
13,40001;163;7046;0
13,50002;162;7106;0
13,60002;215;7170;0
13,70002;200;7235;0
13,80002;219;7298;0
13,90002;224;7361;0
14,00002;215;7423;0
14,10002;165;7485;0
14,20002;159;7547;0
14,30002;229;7611;0
14,40002;216;7673;0
14,50002;216;7734;0
14,60002;209;7798;0
14,70002;225;7862;0
14,80002;209;7926;0
14,90002;157;7990;0
15,00002;224;8053;0
15,10002;204;8117;0
15,20002;217;8180;0
15,30002;221;8242;0
15,40002;216;8308;0
15,50002;165;8371;0
15,60002;159;8435;0
15,70002;221;8502;0
15,80002;206;8565;0
15,90002;212;8628;0
16,00002;203;8692;0
16,10003;222;8754;0
16,20003;201;8818;0
16,30003;209;8879;0
16,40003;164;8942;0
16,50003;159;9004;0
16,60003;207;9068;0
16,70003;205;9132;0
16,80003;212;9197;0
16,90003;159;9261;0
17,00003;177;9325;0
17,10003;191;9390;0
17,20003;208;9453;0
17,30003;163;9513;0
17,40003;140;9576;0
17,50003;209;9637;0
17,60003;208;9701;0
17,70003;156;9764;0
17,80003;167;9826;0
17,90003;156;9886;0
18,00003;195;9947;0
18,10003;202;10008;0
18,20003;199;10069;0
18,30003;199;10129;0
18,40003;190;10190;0
18,50003;180;10252;0
18,60003;196;10312;0
18,70004;204;10372;0
18,80004;146;10432;0
18,90004;161;10493;0
19,00004;158;10553;0
19,10004;191;10614;0
19,20004;200;10673;0
19,30004;191;10734;0
19,40004;196;10796;0
19,50004;161;10857;0
19,60004;155;10918;0
19,70004;180;10979;0
19,80004;197;11042;0
19,90004;200;11100;0
20,00004;206;11159;0
20,10004;160;11220;0
20,20004;154;11278;0
20,30004;150;11336;0
20,40004;175;11397;0
20,50004;174;11454;0
20,60004;144;11514;0
20,70004;143;11575;0
20,80004;142;11633;0
20,90004;190;11692;0
21,00004;185;11751;0
21,10004;175;11813;0
21,20004;195;11872;0
21,30005;153;11929;0
21,40005;133;11987;0
21,50005;190;12045;0
21,60005;181;12104;0
21,70005;147;12162;0
